1	There	_	EX	EX	_	2	expl	_	_
4	see	_	VBP	VBP	_	8	advcl	_	_
5	him	_	PRP	PRP	_	4	dobj	_	_
6	,	_	,	,	_	8	punct	_	_
7	you	_	PRP	PRP	_	8	nsubj	_	_
8	think	_	VBP	VBP	_	14	dep	_	_
9	you	_	PRP	PRP	_	10	nsubj	_	_
10	see	_	VBP	VBP	_	8	ccomp	_	_
11	him	_	PRP	PRP	_	10	dobj	_	_
12	,	_	,	,	_	14	punct	_	_
13	you	_	PRP	PRP	_	14	nsubj	_	_
14	call	_	VBP	VBP	_	0	null	_	_
15	us	_	PRP	PRP	_	14	dep	_	_
16	.	_	.	.	_	14	punct	_	_

1	All	_	DT	DT	_	2	det	_	_
2	right	_	NN	NN	_	0	null	_	_
3	.	_	.	.	_	2	punct	_	_

1	Okay	_	NNP	NNP	_	0	null	_	_
2	?	_	.	.	_	1	punct	_	_

1	And	_	CC	CC	_	3	cc	_	_
2	change	_	NN	NN	_	3	nn	_	_
3	vehicles	_	NNS	NNS	_	0	null	_	_
4	or	_	CC	CC	_	3	cc	_	_
5	take	_	VB	VB	_	3	conj	_	_
6	the	_	DT	DT	_	7	det	_	_
7	train	_	NN	NN	_	5	dobj	_	_
8	.	_	.	.	_	3	punct	_	_

1	Bombed	_	VBN	VBN	_	0	null	_	_
2	a	_	DT	DT	_	4	det	_	_
3	couple	_	NN	NN	_	4	nn	_	_
4	cars	_	NNS	NNS	_	1	dobj	_	_
5	already	_	RB	RB	_	1	advmod	_	_
6	.	_	.	.	_	1	punct	_	_

1	If	_	IN	IN	_	3	mark	_	_
2	I	_	PRP	PRP	_	3	nsubj	_	_
3	see	_	VBP	VBP	_	7	advcl	_	_
4	him	_	PRP	PRP	_	3	dobj	_	_
5	I	_	PRP	PRP	_	7	nsubj	_	_
6	'll	_	MD	MD	_	7	aux	_	_
7	call	_	VB	VB	_	0	null	_	_
8	you	_	PRP	PRP	_	9	nsubj	_	_
9	guys	_	NNS	NNS	_	7	ccomp	_	_
10	to	_	TO	TO	_	11	aux	_	_
11	clean	_	VB	VB	_	9	infmod	_	_
12	up	_	RP	RP	_	11	prt	_	_
13	the	_	DT	DT	_	14	det	_	_
14	bloodstain	_	NN	NN	_	11	dobj	_	_
15	.	_	.	.	_	7	punct	_	_

1	How	_	WRB	WRB	_	3	advmod	_	_
2	about	_	RB	RB	_	3	advmod	_	_
3	that	_	DT	DT	_	0	null	_	_
4	?	_	.	.	_	3	punct	_	_

1	It	_	PRP	PRP	_	4	nsubj	_	_
2	's	_	VBZ	VBZ	_	4	cop	_	_
3	the	_	DT	DT	_	4	det	_	_
4	guy	_	NN	NN	_	0	null	_	_
5	who	_	WP	WP	_	8	nsubjpass	_	_
6	was	_	VBD	VBD	_	8	auxpass	_	_
7	just	_	RB	RB	_	8	advmod	_	_
8	released	_	VBN	VBN	_	4	rcmod	_	_
9	?	_	.	.	_	4	punct	_	_

1	Yeah	_	UH	UH	_	4	dep	_	_
2	,	_	,	,	_	4	punct	_	_
3	he	_	PRP	PRP	_	4	nsubj	_	_
4	went	_	VBD	VBD	_	0	null	_	_
5	after	_	IN	IN	_	4	prep	_	_
6	Voight	_	NNP	NNP	_	5	pobj	_	_
7	and	_	CC	CC	_	4	cc	_	_
8	then	_	RB	RB	_	4	advmod	_	_
9	took	_	VBD	VBD	_	4	conj	_	_
10	out	_	RP	RP	_	9	prt	_	_
11	a	_	DT	DT	_	12	det	_	_
12	guy	_	NN	NN	_	9	dobj	_	_
13	from	_	IN	IN	_	9	prep	_	_
14	me	_	PRP	PRP	_	13	pobj	_	_
15	and	_	CC	CC	_	4	cc	_	_
16	Al	_	NNP	NNP	_	18	poss	_	_
17	's	_	POS	POS	_	16	possessive	_	_
18	crew	_	NN	NN	_	4	conj	_	_
19	from	_	IN	IN	_	18	prep	_	_
20	back	_	RB	RB	_	19	dep	_	_
21	in	_	IN	IN	_	20	dep	_	_
22	the	_	DT	DT	_	23	det	_	_
23	day	_	NN	NN	_	21	pobj	_	_
24	.	_	.	.	_	4	punct	_	_

1	Hey	_	NNP	NNP	_	3	nsubj	_	_
2	,	_	,	,	_	1	punct	_	_
3	listen	_	VBP	VBP	_	0	null	_	_
4	.	_	.	.	_	3	punct	_	_

1	Be	_	VB	VB	_	0	null	_	_
2	careful	_	JJ	JJ	_	1	acomp	_	_
3	today	_	NN	NN	_	1	tmod	_	_
4	,	_	,	,	_	1	punct	_	_
5	okay	_	RB	RB	_	1	advmod	_	_
6	?	_	.	.	_	1	punct	_	_

1	Yeah	_	UH	UH	_	0	null	_	_
2	,	_	,	,	_	1	punct	_	_
3	of	_	IN	IN	_	1	dep	_	_
4	course	_	NN	NN	_	3	pobj	_	_
5	.	_	.	.	_	1	punct	_	_

1	Of	_	IN	IN	_	0	null	_	_
2	course	_	NN	NN	_	1	pobj	_	_
3	.	_	.	.	_	1	punct	_	_

1	You	_	PRP	PRP	_	4	nsubj	_	_
2	too	_	RB	RB	_	4	advmod	_	_
3	,	_	,	,	_	4	punct	_	_
4	okay	_	VB	VB	_	0	null	_	_
5	?	_	.	.	_	4	punct	_	_

1	Ugh	_	UH	UH	_	5	dep	_	_
2	,	_	,	,	_	5	punct	_	_
3	okay	_	NN	NN	_	5	nsubj	_	_
4	,	_	,	,	_	3	punct	_	_
5	come	_	VBN	VBN	_	8	dep	_	_
6	on	_	IN	IN	_	5	prep	_	_
7	,	_	,	,	_	6	punct	_	_
8	come	_	VBN	VBN	_	0	null	_	_
9	on	_	IN	IN	_	8	prep	_	_
10	.	_	.	.	_	8	punct	_	_

1	Come	_	NN	NN	_	0	null	_	_
2	on	_	IN	IN	_	1	dep	_	_
3	.	_	.	.	_	1	punct	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	just	_	RB	RB	_	3	advmod	_	_
3	talked	_	VBD	VBD	_	0	null	_	_
4	to	_	TO	TO	_	3	prep	_	_
5	your	_	PRP$	PRP$	_	6	poss	_	_
6	buddy	_	NN	NN	_	4	pobj	_	_
7	,	_	,	,	_	6	punct	_	_
8	Oliver	_	NNP	NNP	_	6	appos	_	_
9	.	_	.	.	_	3	punct	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	do	_	VBP	VBP	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	think	_	VB	VB	_	0	null	_	_
5	he	_	PRP	PRP	_	7	nsubj	_	_
6	's	_	VBZ	VBZ	_	7	aux	_	_
7	gon	_	VBG	VBG	_	4	ccomp	_	_
8	na	_	TO	TO	_	7	xcomp	_	_
9	make	_	VB	VB	_	8	dep	_	_
10	it	_	PRP	PRP	_	9	dobj	_	_
11	to	_	TO	TO	_	9	prep	_	_
12	the	_	DT	DT	_	14	det	_	_
13	bachelor	_	NN	NN	_	14	nn	_	_
14	party	_	NN	NN	_	11	pobj	_	_
15	,	_	,	,	_	14	punct	_	_
16	bro	_	NN	NN	_	14	appos	_	_
17	.	_	.	.	_	4	punct	_	_

1	Why	_	WRB	WRB	_	0	null	_	_
2	?	_	.	.	_	1	punct	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	do	_	VBP	VBP	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	know	_	VB	VB	_	0	null	_	_
5	.	_	.	.	_	4	punct	_	_

1	He	_	PRP	PRP	_	2	nsubj	_	_
2	said	_	VBD	VBD	_	0	null	_	_
3	he	_	PRP	PRP	_	4	nsubj	_	_
4	went	_	VBD	VBD	_	2	ccomp	_	_
5	to	_	TO	TO	_	4	prep	_	_
6	the	_	DT	DT	_	8	det	_	_
7	first	_	JJ	JJ	_	8	amod	_	_
8	two	_	CD	CD	_	5	pobj	_	_
9	,	_	,	,	_	4	punct	_	_
10	nothing	_	NN	NN	_	11	nsubj	_	_
11	came	_	VBD	VBD	_	4	conj	_	_
12	of	_	IN	IN	_	11	prep	_	_
13	'em	_	NN	NN	_	12	pobj	_	_
14	,	_	,	,	_	4	punct	_	_
15	so	_	IN	IN	_	4	prep	_	_
16	the	_	DT	DT	_	19	det	_	_
17	third	_	JJ	JJ	_	19	amod	_	_
18	one	_	CD	CD	_	19	num	_	_
19	kind	_	NN	NN	_	15	pobj	_	_
20	of	_	IN	IN	_	19	prep	_	_
21	seemed	_	VBN	VBN	_	20	pobj	_	_
22	pointless	_	JJ	JJ	_	21	dep	_	_
23	.	_	.	.	_	2	punct	_	_

1	Come	_	NN	NN	_	0	null	_	_
2	on	_	IN	IN	_	1	dep	_	_
3	.	_	.	.	_	1	punct	_	_

1	No	_	UH	UH	_	5	dep	_	_
2	,	_	,	,	_	5	punct	_	_
3	I	_	PRP	PRP	_	5	nsubj	_	_
4	'm	_	VBP	VBP	_	5	aux	_	_
5	gon	_	VBG	VBG	_	0	null	_	_
6	na	_	TO	TO	_	5	xcomp	_	_
7	call	_	VB	VB	_	6	dep	_	_
8	him	_	PRP	PRP	_	7	dobj	_	_
9	.	_	.	.	_	5	punct	_	_

1	They	_	PRP	PRP	_	2	nsubj	_	_
2	need	_	VBP	VBP	_	0	null	_	_
3	us	_	PRP	PRP	_	4	nsubj	_	_
4	upstairs	_	VBZ	VBZ	_	2	ccomp	_	_
5	,	_	,	,	_	4	punct	_	_
6	bro	_	NN	NN	_	4	dobj	_	_
7	.	_	.	.	_	2	punct	_	_

1	What	_	WP	WP	_	0	null	_	_
2	?	_	.	.	_	1	punct	_	_

1	You	_	PRP	PRP	_	3	nsubjpass	_	_
2	were	_	VBD	VBD	_	3	auxpass	_	_
3	engaged	_	VBN	VBN	_	0	null	_	_
4	twice	_	RB	RB	_	3	advmod	_	_
5	?	_	.	.	_	3	punct	_	_

1	Yeah	_	UH	UH	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	Before	_	IN	IN	_	5	prep	_	_
2	Wendy	_	NN	NN	_	1	pobj	_	_
3	,	_	,	,	_	5	punct	_	_
4	there	_	EX	EX	_	5	expl	_	_
5	was	_	VBD	VBD	_	0	null	_	_
6	Nicole	_	NNP	NNP	_	5	nsubj	_	_
7	.	_	.	.	_	5	punct	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	knew	_	VBD	VBD	_	0	null	_	_
3	that	_	WDT	WDT	_	2	dobj	_	_
4	.	_	.	.	_	2	punct	_	_

1	No	_	UH	UH	_	4	dep	_	_
2	,	_	,	,	_	4	punct	_	_
3	I	_	PRP	PRP	_	4	nsubj	_	_
4	did	_	VBD	VBD	_	0	null	_	_
5	n't	_	RB	RB	_	4	neg	_	_
6	.	_	.	.	_	4	punct	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	did	_	VBD	VBD	_	0	null	_	_
3	n't	_	RB	RB	_	2	neg	_	_
4	?	_	.	.	_	2	punct	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	did	_	VBD	VBD	_	0	null	_	_
3	n't	_	RB	RB	_	2	neg	_	_
4	.	_	.	.	_	2	punct	_	_

1	Okay	_	NNP	NNP	_	4	nsubj	_	_
2	,	_	,	,	_	4	punct	_	_
3	I	_	PRP	PRP	_	4	nsubj	_	_
4	have	_	VBP	VBP	_	0	null	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	go	_	VB	VB	_	4	xcomp	_	_
7	upstairs	_	NNS	NNS	_	6	dobj	_	_
8	,	_	,	,	_	4	punct	_	_
9	but	_	CC	CC	_	4	cc	_	_
10	we	_	PRP	PRP	_	12	nsubj	_	_
11	're	_	VBP	VBP	_	12	aux	_	_
12	gon	_	VBG	VBG	_	4	conj	_	_
13	na	_	TO	TO	_	14	aux	_	_
14	talk	_	VB	VB	_	12	xcomp	_	_
15	about	_	IN	IN	_	17	dep	_	_
16	this	_	DT	DT	_	17	dep	_	_
17	later	_	RB	RB	_	14	advmod	_	_
18	.	_	.	.	_	4	punct	_	_

1	Oh	_	UH	UH	_	2	dep	_	_
2	yeah	_	NN	NN	_	0	null	_	_
3	.	_	.	.	_	2	punct	_	_

1	Hey	_	NNP	NNP	_	4	dep	_	_
2	,	_	,	,	_	1	punct	_	_
3	someone	_	NN	NN	_	4	nsubj	_	_
4	went	_	VBD	VBD	_	0	null	_	_
5	after	_	IN	IN	_	4	prep	_	_
6	Voight	_	NN	NN	_	5	pobj	_	_
7	?	_	.	.	_	4	punct	_	_

1	Starsky	_	NNP	NNP	_	5	nsubj	_	_
2	and	_	CC	CC	_	1	cc	_	_
3	Putz	_	NNP	NNP	_	1	conj	_	_
4	,	_	,	,	_	1	punct	_	_
5	get	_	VBP	VBP	_	0	null	_	_
6	over	_	IN	IN	_	5	prep	_	_
7	here	_	RB	RB	_	6	pobj	_	_
8	.	_	.	.	_	5	punct	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	need	_	VBP	VBP	_	0	null	_	_
3	us	_	PRP	PRP	_	4	nsubj	_	_
4	upstairs	_	VBZ	VBZ	_	2	ccomp	_	_
5	?	_	.	.	_	2	punct	_	_

1	Yeah	_	UH	UH	_	3	dep	_	_
2	,	_	,	,	_	3	punct	_	_
3	something	_	NN	NN	_	0	null	_	_
4	like	_	IN	IN	_	3	prep	_	_
5	that	_	DT	DT	_	4	pobj	_	_
6	.	_	.	.	_	3	punct	_	_

1	Pipe	_	NNP	NNP	_	2	nn	_	_
2	bomb	_	NN	NN	_	4	nsubjpass	_	_
3	fragments	_	VBZ	VBZ	_	4	auxpass	_	_
4	found	_	VBN	VBN	_	0	null	_	_
5	on	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	scene	_	NN	NN	_	5	pobj	_	_
8	at	_	IN	IN	_	4	prep	_	_
9	Voight	_	NNP	NNP	_	11	poss	_	_
10	's	_	POS	POS	_	9	possessive	_	_
11	house	_	NN	NN	_	8	pobj	_	_
12	have	_	VBP	VBP	_	4	dep	_	_
13	partial	_	JJ	JJ	_	14	amod	_	_
14	prints	_	NNS	NNS	_	12	dobj	_	_
15	belonging	_	VBG	VBG	_	14	partmod	_	_
16	to	_	TO	TO	_	15	prep	_	_
17	these	_	DT	DT	_	20	det	_	_
18	two	_	CD	CD	_	20	num	_	_
19	upstanding	_	JJ	JJ	_	20	amod	_	_
20	citizens	_	NNS	NNS	_	16	pobj	_	_
21	.	_	.	.	_	4	punct	_	_

1	They	_	PRP	PRP	_	2	nsubj	_	_
2	look	_	VBP	VBP	_	0	null	_	_
3	like	_	IN	IN	_	2	prep	_	_
4	brothers	_	NNS	NNS	_	3	pobj	_	_
5	.	_	.	.	_	2	punct	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	can	_	MD	MD	_	3	aux	_	_
3	see	_	VB	VB	_	0	null	_	_
4	it	_	PRP	PRP	_	3	dobj	_	_
5	in	_	IN	IN	_	3	prep	_	_
6	their	_	PRP$	PRP$	_	5	pobj	_	_
7	,	_	,	,	_	3	punct	_	_
8	uh	_	UH	UH	_	3	dep	_	_
9	,	_	,	,	_	8	punct	_	_
10	eyes	_	NNS	NNS	_	8	dep	_	_
11	.	_	.	.	_	3	punct	_	_

1	Enrique	_	NNP	NNP	_	0	null	_	_
2	and	_	CC	CC	_	1	cc	_	_
3	Vicente	_	NNP	NNP	_	4	nn	_	_
4	Dominguez	_	NNP	NNP	_	1	conj	_	_
5	.	_	.	.	_	1	punct	_	_

1	Last	_	JJ	JJ	_	3	amod	_	_
2	known	_	JJ	JJ	_	3	amod	_	_
3	address	_	NN	NN	_	6	nsubj	_	_
4	is	_	VBZ	VBZ	_	6	cop	_	_
5	1608	_	CD	CD	_	6	num	_	_
6	Ridgeland	_	NNP	NNP	_	0	null	_	_
7	.	_	.	.	_	6	punct	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	want	_	VBP	VBP	_	0	null	_	_
3	you	_	PRP	PRP	_	5	nsubj	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	sit	_	VB	VB	_	2	ccomp	_	_
6	on	_	IN	IN	_	5	prep	_	_
7	the	_	DT	DT	_	8	det	_	_
8	house	_	NN	NN	_	6	pobj	_	_
9	.	_	.	.	_	2	punct	_	_

1	Should	_	MD	MD	_	3	aux	_	_
2	we	_	PRP	PRP	_	3	nsubj	_	_
3	do	_	VB	VB	_	0	null	_	_
4	a	_	DT	DT	_	5	det	_	_
5	knockandtalk	_	NN	NN	_	3	dobj	_	_
6	?	_	.	.	_	3	punct	_	_

1	On	_	IN	IN	_	7	prep	_	_
2	a	_	DT	DT	_	3	det	_	_
3	house	_	NN	NN	_	1	pobj	_	_
4	that	_	WDT	WDT	_	7	nsubjpass	_	_
5	could	_	MD	MD	_	7	aux	_	_
6	be	_	VB	VB	_	7	auxpass	_	_
7	filled	_	VBN	VBN	_	0	null	_	_
8	with	_	IN	IN	_	7	prep	_	_
9	explosives	_	NNS	NNS	_	8	pobj	_	_
10	.	_	.	.	_	7	punct	_	_

1	That	_	DT	DT	_	5	nsubj	_	_
2	's	_	VBZ	VBZ	_	5	cop	_	_
3	a	_	DT	DT	_	5	det	_	_
4	great	_	JJ	JJ	_	5	amod	_	_
5	idea	_	NN	NN	_	0	null	_	_
6	.	_	.	.	_	5	punct	_	_

1	Go	_	PRP	PRP	_	2	nsubj	_	_
2	do	_	VBP	VBP	_	0	null	_	_
3	that	_	WDT	WDT	_	2	dobj	_	_
4	.	_	.	.	_	2	punct	_	_

1	Hey.	_	NNP	NNP	_	12	nsubj	_	_
2	If	_	IN	IN	_	4	mark	_	_
3	we	_	PRP	PRP	_	4	nsubj	_	_
4	see	_	VBP	VBP	_	12	dep	_	_
5	these	_	DT	DT	_	6	det	_	_
6	guys	_	NNS	NNS	_	4	dobj	_	_
7	on	_	IN	IN	_	4	prep	_	_
8	the	_	DT	DT	_	9	det	_	_
9	street	_	NN	NN	_	7	pobj	_	_
10	,	_	,	,	_	12	punct	_	_
11	we	_	PRP	PRP	_	12	nsubj	_	_
12	take	_	VBP	VBP	_	0	null	_	_
13	'em	_	NN	NN	_	12	dobj	_	_
14	.	_	.	.	_	12	punct	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	do	_	VBP	VBP	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	care	_	VB	VB	_	0	null	_	_
5	if	_	IN	IN	_	8	mark	_	_
6	they	_	PRP	PRP	_	8	nsubjpass	_	_
7	're	_	VBP	VBP	_	8	aux	_	_
8	wrapped	_	VBN	VBN	_	4	advcl	_	_
9	in	_	IN	IN	_	8	prep	_	_
10	dynamite	_	NN	NN	_	9	pobj	_	_
11	.	_	.	.	_	4	punct	_	_

1	Yeah	_	UH	UH	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	Hey	_	NNP	NNP	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	Did	_	NNP	NNP	_	3	advmod	_	_
2	you	_	PRP	PRP	_	3	nsubj	_	_
3	know	_	VBP	VBP	_	0	null	_	_
4	that	_	IN	IN	_	7	complm	_	_
5	Adam	_	NNP	NNP	_	7	nsubjpass	_	_
6	was	_	VBD	VBD	_	7	auxpass	_	_
7	engaged	_	VBN	VBN	_	3	ccomp	_	_
8	before	_	IN	IN	_	11	mark	_	_
9	he	_	PRP	PRP	_	11	nsubjpass	_	_
10	was	_	VBD	VBD	_	11	auxpass	_	_
11	engaged	_	VBN	VBN	_	7	advcl	_	_
12	?	_	.	.	_	3	punct	_	_

1	To	_	TO	TO	_	0	null	_	_
2	you	_	PRP	PRP	_	1	pobj	_	_
3	?	_	.	.	_	1	punct	_	_

1	Yeah	_	UH	UH	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	No	_	RB	RB	_	0	null	_	_
2	,	_	,	,	_	1	dep	_	_
3	before	_	IN	IN	_	2	dep	_	_
4	that	_	WDT	WDT	_	3	pobj	_	_
5	.	_	.	.	_	3	punct	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	mean	_	VBP	VBP	_	0	null	_	_
3	you	_	PRP	PRP	_	6	nsubj	_	_
4	're	_	VBP	VBP	_	6	cop	_	_
5	the	_	DT	DT	_	6	det	_	_
6	third	_	JJ	JJ	_	2	ccomp	_	_
7	?	_	.	.	_	2	punct	_	_

1	Yeah	_	UH	UH	_	5	dep	_	_
2	,	_	,	,	_	5	punct	_	_
3	I	_	PRP	PRP	_	5	nsubj	_	_
4	just	_	RB	RB	_	5	advmod	_	_
5	found	_	VBD	VBD	_	0	null	_	_
6	out	_	RP	RP	_	5	prt	_	_
7	.	_	.	.	_	5	punct	_	_

1	Just	_	RB	RB	_	2	advmod	_	_
2	think	_	VB	VB	_	0	null	_	_
3	of	_	IN	IN	_	2	prep	_	_
4	it	_	PRP	PRP	_	3	pobj	_	_
5	like	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	Olympics	_	NNPS	NNPS	_	5	pobj	_	_
8	.	_	.	.	_	2	punct	_	_

1	Bronze	_	NNP	NNP	_	2	nn	_	_
2	medal	_	NN	NN	_	4	nsubj	_	_
3	's	_	VBZ	VBZ	_	4	cop	_	_
4	nothing	_	NN	NN	_	0	null	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	sneeze	_	VB	VB	_	4	infmod	_	_
7	at	_	IN	IN	_	6	advmod	_	_
8	.	_	.	.	_	4	punct	_	_

1	She	_	PRP	PRP	_	5	nsubj	_	_
2	's	_	VBZ	VBZ	_	5	cop	_	_
3	the	_	DT	DT	_	5	det	_	_
4	real	_	JJ	JJ	_	5	amod	_	_
5	deal	_	NN	NN	_	15	ccomp	_	_
6	,	_	,	,	_	5	punct	_	_
7	and	_	CC	CC	_	5	cc	_	_
8	you	_	PRP	PRP	_	9	nsubj	_	_
9	know	_	VBP	VBP	_	5	conj	_	_
10	anything	_	NN	NN	_	9	dobj	_	_
11	about	_	IN	IN	_	10	prep	_	_
12	me	_	PRP	PRP	_	11	pobj	_	_
13	,	_	,	,	_	15	punct	_	_
14	you	_	PRP	PRP	_	15	nsubj	_	_
15	know	_	VBP	VBP	_	0	null	_	_
16	I	_	PRP	PRP	_	19	nsubj	_	_
17	do	_	VBP	VBP	_	19	aux	_	_
18	n't	_	RB	RB	_	19	neg	_	_
19	joke	_	VB	VB	_	15	ccomp	_	_
20	about	_	IN	IN	_	19	prep	_	_
21	the	_	DT	DT	_	23	det	_	_
22	sweet	_	JJ	JJ	_	23	amod	_	_
23	science	_	NN	NN	_	20	pobj	_	_
24	.	_	.	.	_	15	punct	_	_

1	Al	_	NNP	NNP	_	5	nsubj	_	_
2	,	_	,	,	_	5	punct	_	_
3	I	_	PRP	PRP	_	5	nsubj	_	_
4	'm	_	VBP	VBP	_	5	aux	_	_
5	talking	_	VBG	VBG	_	0	null	_	_
6	to	_	TO	TO	_	5	prep	_	_
7	you	_	PRP	PRP	_	6	pobj	_	_
8	.	_	.	.	_	5	punct	_	_

1	Yeah	_	UH	UH	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	Yeah	_	UH	UH	_	0	null	_	_
2	,	_	,	,	_	1	punct	_	_
3	as	_	RB	RB	_	4	advmod	_	_
4	long	_	RB	RB	_	17	advmod	_	_
5	as	_	IN	IN	_	7	mark	_	_
6	it	_	PRP	PRP	_	7	nsubj	_	_
7	keeps	_	VBZ	VBZ	_	17	dep	_	_
8	her	_	PRP$	PRP$	_	10	poss	_	_
9	parole	_	JJ	JJ	_	10	amod	_	_
10	officer	_	NN	NN	_	7	dobj	_	_
11	checking	_	VBG	VBG	_	7	xcomp	_	_
12	the	_	DT	DT	_	13	det	_	_
13	boxes	_	NNS	NNS	_	11	dobj	_	_
14	...	_	:	:	_	17	punct	_	_
15	She	_	PRP	PRP	_	17	nsubj	_	_
16	's	_	VBZ	VBZ	_	17	aux	_	_
17	gon	_	VBG	VBG	_	1	dep	_	_
18	na	_	TO	TO	_	21	aux	_	_
19	be	_	VB	VB	_	21	cop	_	_
20	too	_	RB	RB	_	21	advmod	_	_
21	tired	_	JJ	JJ	_	17	xcomp	_	_
22	to	_	TO	TO	_	23	aux	_	_
23	get	_	VB	VB	_	21	xcomp	_	_
24	into	_	IN	IN	_	23	prep	_	_
25	trouble	_	NN	NN	_	24	pobj	_	_
26	.	_	.	.	_	1	punct	_	_

1	Trust	_	NNP	NNP	_	2	nsubj	_	_
2	me	_	PRP	PRP	_	0	null	_	_
3	.	_	.	.	_	2	punct	_	_

1	Meredith	_	NNP	NNP	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	only	_	RB	RB	_	3	advmod	_	_
3	came	_	VBD	VBD	_	0	null	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	say	_	VB	VB	_	3	xcomp	_	_
6	my	_	PRP$	PRP$	_	7	poss	_	_
7	piece	_	NN	NN	_	5	dobj	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	then	_	RB	RB	_	7	advmod	_	_
10	I	_	PRP	PRP	_	12	nsubj	_	_
11	'm	_	VBP	VBP	_	12	aux	_	_
12	leaving	_	VBG	VBG	_	7	rcmod	_	_
13	.	_	.	.	_	3	punct	_	_

1	Okay	_	NNP	NNP	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	Okay	_	NNP	NNP	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	This	_	DT	DT	_	2	det	_	_
2	girl	_	NN	NN	_	0	null	_	_
3	who	_	WP	WP	_	4	nsubj	_	_
4	says	_	VBZ	VBZ	_	2	rcmod	_	_
5	she	_	PRP	PRP	_	8	nsubj	_	_
6	's	_	VBZ	VBZ	_	8	cop	_	_
7	your	_	PRP$	PRP$	_	8	poss	_	_
8	daughter	_	NN	NN	_	4	ccomp	_	_
9	.	_	.	.	_	2	punct	_	_

1	Mmhmm	_	NNP	NNP	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	Did	_	VB	VB	_	0	null	_	_
2	you	_	PRP	PRP	_	4	nsubj	_	_
3	even	_	RB	RB	_	4	advmod	_	_
4	get	_	VB	VB	_	1	ccomp	_	_
5	a	_	DT	DT	_	7	det	_	_
6	paternity	_	NN	NN	_	7	nn	_	_
7	test	_	NN	NN	_	4	dobj	_	_
8	,	_	,	,	_	7	punct	_	_
9	Alvin	_	NNP	NNP	_	7	appos	_	_
10	?	_	.	.	_	1	punct	_	_

1	No	_	UH	UH	_	0	null	_	_
2	,	_	,	,	_	1	punct	_	_
3	no	_	UH	UH	_	1	dep	_	_
4	.	_	.	.	_	1	punct	_	_

1	No	_	DT	DT	_	2	det	_	_
2	test	_	NN	NN	_	0	null	_	_
3	.	_	.	.	_	2	punct	_	_

1	You	_	PRP	PRP	_	4	nsubj	_	_
2	're	_	VBP	VBP	_	4	aux	_	_
3	just	_	RB	RB	_	4	advmod	_	_
4	gon	_	VBG	VBG	_	0	null	_	_
5	na	_	TO	TO	_	4	xcomp	_	_
6	take	_	VB	VB	_	5	dep	_	_
7	it	_	PRP	PRP	_	6	dobj	_	_
8	on	_	IN	IN	_	6	prep	_	_
9	faith	_	NN	NN	_	8	pobj	_	_
10	then	_	RB	RB	_	9	advmod	_	_
11	?	_	.	.	_	4	punct	_	_

1	Willing	_	VBG	VBG	_	0	null	_	_
2	to	_	TO	TO	_	3	aux	_	_
3	blow	_	VB	VB	_	1	xcomp	_	_
4	up	_	RP	RP	_	3	prt	_	_
5	your	_	PRP$	PRP$	_	7	poss	_	_
6	whole	_	JJ	JJ	_	7	amod	_	_
7	family	_	NN	NN	_	3	dobj	_	_
8	for	_	IN	IN	_	3	prep	_	_
9	that	_	WDT	WDT	_	8	pobj	_	_
10	?	_	.	.	_	1	punct	_	_

